Description,Level of Difficulty,Change From,Changed To,,,,,,,
Fixed missing module error (mlxtend),Easy,ModuleNotFoundError,Installed mlxtend using !pip install mlxtend,,,,,,,
Reduced PCA sample size to speed up visualization,Medium,pca = PCA(n_components=2)\nX_train_pca = pca.fit_transform(X_train)\nX_test_pca = pca.transform(X_test),X_train_pca_small = X_train[:2000]\ny_train_small = y_train[:2000],,,,,,,
Fixed ValueError in plot_decision_regions,Medium,"plot_decision_regions(X_train, y_train.to_numpy(), clf=svm_pca, legend=2)",Converted y_train to a NumPy array: y_train_small_np = y_train_small.to_numpy(),,,,,,,
Fixed classification report error,Medium,"print(classification_report(y_train_small_filtered, y_pred_pca))","print(classification_report(y_train_small_filtered, y_pred_pca, zero_division=0))",,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
